dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/D/short,moiraic_base_11,363.4156746031746,363.4156746031746,9.502538287450395,1.0881293529577216,0.6301783837642766,0.4485721164279513,6.715359848066163,19.0634643914262,0.1147932134241981,0.057220811669127,0.04424345208671,Nature,21
jena_weather/H/long,moiraic_base_11,1301.037037037037,1301.037037037037,11.973247354497357,0.991190480838724,2.342062065622482,0.6882904214203043,17.79895867233328,36.069891003952826,0.2171807066020101,0.0720922145421902,0.0611238464060048,Nature,21
jena_weather/H/medium,moiraic_base_11,1420.0577380952382,1420.0577380952382,10.725841703869047,0.7627334940837991,1.9147381871490672,0.667681642562624,12.04477452886819,37.68365346002479,0.2305929588344483,0.065633327647193,0.0561055098066114,Nature,21
jena_weather/H/short,moiraic_base_11,1109.7487395245928,1109.7487395245928,8.83833949089847,0.5930857720852672,1.5124698392251017,0.6221869706908364,6.198616198438358,33.3128914915021,0.2042059047752212,0.0541784585979242,0.0446862862478479,Nature,21
kdd_cup_2018/D/short,moiraic_base_11,2901.344902212581,2901.344902212581,21.05581617352176,1.1911493567011224,0.5343689780593893,0.4630376588902707,9.112304515975374,53.8641337274868,1.206613823201984,0.4716726529439476,0.3737457813212012,Nature,1
kdd_cup_2018/H/long,moiraic_base_11,3960.492357087198,3960.492357087198,23.69371513049197,1.010615972587677,1.0467120440552755,0.598603201968786,13.930047386186438,62.93244280247826,1.476649379782458,0.5559502888199569,0.4717927232948338,Nature,1
kdd_cup_2018/H/medium,moiraic_base_11,4879.533345692935,4879.533345692935,24.59341863560969,1.0369194047930737,1.0366426366098036,0.5500731518773339,11.62799382390087,69.85365663795228,1.4621634981330858,0.5147847765460747,0.4282010994732721,Nature,1
kdd_cup_2018/H/short,moiraic_base_11,4515.13419414484,4515.13419414484,21.50070086688161,0.8993626989499142,0.8046152479525948,0.4930101522296442,7.754620387433538,67.19474826312575,1.4065077754964614,0.4500486084042329,0.3647458550012596,Nature,1
loop_seattle/5T/long,moiraic_base_11,113.97808619281044,113.97808619281044,6.383780359548791,1.009957421311916,0.2242162631025774,0.1410784281531737,12.759376310537826,10.676051994665931,0.1887547931630225,0.112866548604937,0.0941490783657258,Transport,1
loop_seattle/5T/medium,moiraic_base_11,104.66225169714268,104.66225169714268,5.95193011682469,0.9406638892935328,0.2194250535128409,0.1332436592881524,10.94500049164392,10.230457061986169,0.1820208522850634,0.1058970665769294,0.0875521639614357,Transport,1
loop_seattle/5T/short,moiraic_base_11,42.89654041522551,42.89654041522551,3.532914400051499,0.560324024882726,0.0984330435655434,0.0752753970792788,4.371187788417096,6.549545054064863,0.1123102367899651,0.0605816815600352,0.0482119155966431,Transport,1
loop_seattle/D/short,moiraic_base_11,19.07443998197038,19.07443998197038,3.035952625727383,0.9167920017792328,0.0563399853475076,0.055935917254941,8.637400349782432,4.367429447852635,0.0780517975194701,0.0542565283426583,0.0449413260247024,Transport,1
loop_seattle/H/long,moiraic_base_11,65.86315732364766,65.86315732364766,4.824115185496485,1.010238054348464,0.1489670003858841,0.110035779183371,13.178502170445624,8.115611950040961,0.1450368292123439,0.0862133841005048,0.072032607787282,Transport,1
loop_seattle/H/medium,moiraic_base_11,74.33488913143383,74.33488913143383,5.201464919335333,1.0658634407165046,0.1356540985028687,0.1161341398493055,12.837547696087322,8.62176832972412,0.1523887902905341,0.0919353103079174,0.0766622050347106,Transport,1
loop_seattle/H/short,moiraic_base_11,63.29556972086575,63.29556972086575,4.534510065022482,0.92255336455352,0.1299876309989956,0.103343692299052,8.761864535570965,7.955851288257326,0.1408266582142145,0.080265439355103,0.0658913719631638,Transport,1
m4_daily/D/short,moiraic_base_11,353122.59097553144,353122.59097553144,177.93978192975536,3.304621538829879,0.0381923617151188,0.0305614900385935,26.86120449364921,594.2411892283566,0.0917938402598436,0.0274867784569786,0.0217084980219831,Econ/Fin,1
m4_hourly/H/short,moiraic_base_11,501307.8203502416,501307.8203502416,188.6248097197061,1.116596075823044,0.097333017370743,0.0908375938157528,8.762084423727137,708.0309458987238,0.0966618650862182,0.0257514533999589,0.0220293805491476,Econ/Fin,1
m4_monthly/M/short,moiraic_base_11,1952660.6090023147,1952660.6090023147,582.9311665219907,1.0121647393735596,0.1649087597308335,0.1368973386066931,8.17907056036492,1397.376330485927,0.290422771913199,0.1211531078081447,0.0965011796984726,Econ/Fin,1
m4_quarterly/Q/short,moiraic_base_11,1911297.6243489585,1911297.6243489585,592.6870504557291,1.2813542153900166,0.1179143327474594,0.1084913042783737,9.915256734260131,1382.4968804120167,0.2314056323480876,0.0992053751718822,0.0791783404803747,Econ/Fin,1
